Word                Count
=========================
the                 1676
and                 874
to                  747
a                   650
it                  542
she                 542
of                  520
said                468
i                   401
alice               391
in                  383
you                 365
was                 359
that                282
as                  263
her                 253
at                  212
with                198
on                  191
all                 183
had                 180
but                 168
so                  154
for                 152
be                  150
not                 146
very                146
this                142
what                140
little              133
they                130
he                  117
out                 115
down                106
one                 106
is                  105
up                  101
his                 98
about               94
if                  94
then                92
no                  90
like                87
them                86
know                85
were                85
would               85
again               84
herself             83
or                  83
off                 82
went                81
do                  80
have                79
when                79
could               78
there               77
thought             73
into                72
queen               72
by                  70
time                70
me                  68
see                 66
who                 66
how                 64
your                63
an                  61
did                 61
king                61
don't               60
its                 60
well                60
i'm                 59
mock                59
now                 59
are                 58
began               58
my                  58
turtle              58
quite               57
gryphon             55
hatter              55
it's                54
some                54
way                 53
their               52
head                52
just                52
think               52
go                  51
here                51
much                51
which               50
first               49
more                49
only                49
say                 49
thing               49
never               48
looked              47
voice               47
come                46
get                 46
got                 45
must                45
such                45
from                44
him                 44
rabbit              44
round               43
why                 43
after               42
came                42
over                42
duchess             41
other               41
tone                41
two                 41
any                 40
back                39
dormouse            39
been                38
mouse               38
oh                  38
before              37
great               37
can                 36
cat                 36
large               35
long                35
i've                34
that's              34
will                34
once                33
last                33
march               33
nothing             33
found               32
made                32
next                32
put                 32
tell                32
hare                31
i'll                31
right               31
we                  31
looking             30
caterpillar         30
heard               30
dear                29
door                29
moment              29
replied             29
white               29
upon                28
added               28
eyes                28
illustration        28
might               28
poor                28
should              28
things              28
three               28
too                 28
away                27
look                27
seemed              27
while               26
going               26
make                26
rather              26
course              25
day                 25
shall               25
soon                25
than                25
without             25
took                24
there's             24
can't               24
good                24
same                24
sure                24
won't               24
another             23
ever                23
felt                23
minute              23
yet                 23
getting             22
half                22
take                22
till                22
you're              22
curious             21
find                21
wish                21
words               21
however             20
anything            20
cried               20
hand                20
old                 20
being               19
court               19
end                 19
feet                19
please              19
tried               19
use                 19
wonder              18
eat                 18
even                18
house               18
something           18
soup                18
table               18
turned              18
asked               17
doesn't             17
enough              17
face                17
jury                17
let                 17
